item name中文,model name中文,price,image url,product link,二级类目,三级类目,四级类目,邀请码,model id,final_1688_link,price judge,销售优先级,itemid,最大价格,销售优先级,该款式有sku数,是否有高价品加投资源,是否为重抛货,是否重点招募
Belle 高级铰链杯，沙拉杯，酱料杯。现有 30ml 和 60ml 两种规格，每盒 1000 个。,铰链杯 1盎司 1盒,50.31,https://cf.shopee.ph/file/ph-11134207-7rasg-m5uvkhvn7y1mf4,http://shopee.ph/product/1096741347/28975103902,派对用品,一次性餐具,,IVCN202608205755,1.18581E+11,https://detail.1688.com/offer/867649702736.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,28975103902,50.31,高销售优先级,1,是,否,是
YEELETI 50W/100W/200W/300W/500W 太阳能 LED 户外泛光灯 IP67 防水带遥控器 BS-T,500W 仅售 1 件 🏆,117.42,https://cf.shopee.ph/file/ph-11134207-820lb-mpu9iwhvmmtr87,http://shopee.ph/product/38289995/9296243344,灯光,太阳能灯,太阳能投光灯,IVCN202608207913,2.48689E+11,https://detail.1688.com/offer/988366468535.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,9296243344,117.42,高销售优先级,1,是,是,是
用于饮料的宣纸，200 个，5 厘米，适用于婚礼、15 岁生日派对和毕业聚会。,100 个单位（1 件）,28.1,https://cf.shopee.com.br/file/br-11134207-820lf-mqxkv34tlgjqd6,http://shopee.com.br/product/377543494/23398059983,派对用品,其他的,,没发邀请码,1.99169E+11,https://detail.1688.com/offer/619194443762.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b5ecd17591192390537157e0d8d&token=pAMDgzF7imomZv8WhoOTu2sv%2BDa9uYYpz0DcwoLzAuNxwcNbu6yiC7bTKCVZyaJ4,P1,高销售优先级,23398059983,28.1,高销售优先级,1,是,否,是
TLDL 台灯有可充电、护眼、触控式、无线、LED 版本，并有 3 种照明模式。,E19 -1200lux-L，即插即用 + 可充电,11.49,https://cf.shopee.vn/file/vn-11134207-81ztc-mnc9px8jgcua99,http://shopee.vn/product/109638853/8291864534,灯光,室内移动照明,台灯/落地灯/夹子灯/学习灯/小夜灯,IVCN202608206943,1.73074E+11,https://detail.1688.com/offer/701059736542.html,P0,高销售优先级,8291864534,11.49,高销售优先级,1,是,否,是
Lampu Kipas Solar DC 10000mAh Remote 3Speed Outdoor Camping Ceiling LED Fan Light,买一送一🔥🔥🔥,154.71,https://cf.shopee.com.my/file/my-11134207-820l7-mnaupdmrqhvoe3,http://shopee.com.my/product/1627293521/49359227229,灯光,室内固定照明-天花板灯,吊灯/吸顶灯/面板灯/风扇灯,IVCN202608208323,4.40918E+11,https://detail.1688.com/offer/810502648723.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,49359227229,154.71,高销售优先级,1,是,否,是
24/48/96 套精美装饰黄色电子 LED 蜡烛（含电池）/派对/婚礼家居装饰照明,96 件,36.55,https://cf.shopee.com.br/file/br-11134207-7qukw-li5u85m3dn74da,http://shopee.com.br/product/807597901/22496059859,灯光,装饰圆形灯,灯串/灯带/窗帘灯/装饰灯/舞台,IVCN202608208521,1.79399E+11,https://detail.1688.com/offer/726663365298.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P0,高销售优先级,22496059859,36.55,高销售优先级,1,是,否,是
两盏方形殖民地风格壁灯套装，透明玻璃灯罩，14B,铜,73.28,https://cf.shopee.com.br/file/br-11134207-7qukw-ljfljziqo4yu93,http://shopee.com.br/product/328966416/22996327153,灯光,室内固定照明-其他,筒灯/射灯/镶嵌灯/轨道灯/壁灯/镜前灯/橱窗灯,IVCN202608204901,2.29381E+11,https://detail.1688.com/offer/855877750058.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i31&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,22996327153,73.28,高销售优先级,2,是,否,是
派对装饰用LED蝴蝶 - 生日背景幕布 - 不可移动，无支架。,套装 - 2 片 25x30，暖白色,186.36,https://cf.shopee.com.br/file/br-11134207-81z1k-mg4iutbpkz5z2a,http://shopee.com.br/product/608527296/20099908104,派对用品,其他的,,IVCN202608204001,2.28793E+11,https://detail.1688.com/offer/992193383175.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=3da969ccc2414a43ab8acb66ac0ce2b8&sessionid=b65e7d52957bfc5a21bb5eba279ffd7a,P0,高销售优先级,20099908104,186.36,高销售优先级,3,是,否,是
迷你蜘蛛 DJ 舞台灯，带 8 个 LED 灯、40W RGBW 和语音控制。,迷你蜘蛛 DJ 舞台灯，带 8 个 LED 灯、40W RGBW 和语音控制。,168.57,https://cf.shopee.com.br/file/sg-11134201-822x1-mibp1sfa8m4k80,http://shopee.com.br/product/1677238062/58251032186,灯光,装饰圆形灯,灯串/灯带/窗帘灯/装饰灯/舞台,IVCN202608204015,1.89183E+11,https://detail.1688.com/offer/713604234401.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A21360a2e17733043995846620e1187&token=vr3Aj32%2Bg%2BupY%2BYpyybP3e6hXDXKxBKwAJ97e2But3fofSqqmFX1y7RGW3FUTRri&tracelog=cps&clickid=79064512c8885034a902b3e117b2b1f0&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B17C482B9D77E39E8865713DE27E0E8D81F1DC1CA527EBBF12A41CF249DB4BAB65348394BC3CC3C62B9992F8828C4BE8920F79469A84733338D3F4EE495E59F33076DABFAA4017FF994C44ADDBCC3CBE6590F6A2ED38356EE30FD28D3E1E308303849C021936C4E654FDD1A195BA2F5427054F96CFADD265B33F19BCD6DEC6C03D5EF59B6A5E68FB91%26cbu_cps_trace_flag%3Dwrite,P0,高销售优先级,58251032186,168.57,高销售优先级,1,是,否,是
定制旗帜印刷 BENDERA（将您的想法变为现实）,2英寸口袋 + 2根绳子（6英尺x3英尺）,14.29,https://cf.shopee.com.my/file/my-11134207-7r98s-lu4j7ptchnf18c,http://shopee.com.my/product/76014536/23448060316,派对用品,背景幕布和横幅,,IVCN202608205879,1.84427E+11,#N/A,P2,高销售优先级,23448060316,14.29,高销售优先级,1,是,否,是
户外照明太阳能灯套装（2个灯），功率可选900W/800W/700W/600W,套装 2：600W,80.63,https://cf.shopee.com.br/file/br-11134207-820md-mofar18onuv4db,http://shopee.com.br/product/1673514861/58252475087,灯光,太阳能灯,太阳能投光灯,IVCN202608205387,2.0919E+11,https://detail.1688.com/offer/997929981891.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i68&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,58252475087,80.63,高销售优先级,2,是,否,是
带APP和遥控器的LED霓虹灯条。防水耐用，非常适合家庭使用。,3000万,86.09,https://cf.shopee.co.th/file/th-11134207-7rasj-m9fpvo8s9wm877,http://shopee.co.th/product/985744373/26136188478,灯光,装饰圆形灯,灯串/灯带/窗帘灯/装饰灯/舞台,IVCN202608203581,2.5339E+11,https://detail.1688.com/offer/732722673802.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,高销售优先级,26136188478,86.09,高销售优先级,2,是,否,是
